maritime_area,registration_number,imo_number,ship_name,callsign,mmsi,shiptype,length,tonnage,tonnage_unit,materiel_onboard,atis_code,radio_license_status,date_first_license,date_inactivity_license
SB,743864Y,,WAR RAOK IV,FV9987,227624390,PLEASURE CRAFT,12,17,UMS,VHF ASN,,ACTIVE,19/06/1997,
AY,893437C,,PEN DUICK 2,FV9957,227739940,PLEASURE CRAFT,,10,TX,VHF ASN - AIS - VHF PORTATIVE - BALISE COSPAS S.  EPIRB,,ACTIVE,25/06/1997,
BR,853149L,,NADIA TONY,FW3148,228018800,FISHING,11.97,19.56,TX,VHF - VHF ASN - AIS - VHF PORTATIVE - BALISE COSPAS S.  EPIRB - SATELLITE STANDARD C - RADAR 9 PAN (BANDE X),,ACTIVE,04/08/1997,
NA,920448M,,MILOUIN,FT9009,227003190,BULK,27.53,270,UMS,VHF - VHF ASN - AIS - BALISE COSPAS S.  EPIRB - RADAR 9 PAN (BANDE X),,ACTIVE,18/07/1997,
VA,911723D,,VINDILIS,FW3808,227003750,PASSENGERS SHIP,48,1299,TX,VHF ASN - AIS - VHF PORTATIVE - BALISE COSPAS S.  EPIRB - RADAR 9 PAN (BANDE X) - SART (REPONDEUR RAD) - RECEPTEUR NAVTEX,,ACTIVE,03/03/1998,
BR,920688Y,,MARIE LOU III,FW3965,227312180,FISHING,15,32,TX,VHF - AIS - VHF PORTATIVE - BALISE COSPAS S.  EPIRB - RADAR 9 PAN (BANDE X) - DIVERS,,ACTIVE,10/03/1998,
BR,909387P,,LA PORTSALLAISE SNS 093,FW3270,227004180,BULK,15.5,26.03,TX,VHF - VHF ASN - AIS - VHF PORTATIVE - BLU ASN - RADAR 9 PAN (BANDE X),,ACTIVE,10/07/1998,
CH,914060U,,MARANATHA II,FOOI,227138800,FISHING,22.5,103.05,TX,VHF - VHF ASN - AIS - VHF PORTATIVE - BALISE COSPAS S.  EPIRB - BLU - SATELLITE STANDARD C - RADAR 9 PAN (BANDE X) - SART (REPONDEUR RAD) - RECEPTEUR NAVTEX,,ACTIVE,04/09/1998,
SM,403576V,,GWENEVEN,FW6225,227137440,PLEASURE CRAFT,11.5,,UMS,VHF ASN - AIS - VHF PORTATIVE - BALISE COSPAS S.  EPIRB,,ACTIVE,15/07/1998,
LS,870580H,,LES BARGES,FOMP,228107800,FISHING,24.95,158.27,TX,VHF - VHF ASN - AIS - VHF PORTATIVE - BALISE COSPAS S.  EPIRB - BLU - SATELLITE STANDARD C - RADAR 9 PAN (BANDE X) - SART (REPONDEUR RAD) - RECEPTEUR NAVTEX,,ACTIVE,03/11/1998,
CC,639926X,,CORAIL,FQAX,228106800,FISHING,35.3,249.86,TX,VHF - VHF ASN - AIS - VHF PORTATIVE - BALISE COSPAS S.  EPIRB - BLU ASN - SATELLITE STANDARD C - RADAR 9 PAN (BANDE X) - RECEPTEUR NAVTEX,,ACTIVE,01/10/1998,
SB,907887J,,ERISPOE,FHKG,227142300,FISHING,22,95,UMS,VHF - VHF ASN - AIS - VHF PORTATIVE - BALISE COSPAS S.  EPIRB - BLU ASN - SATELLITE STANDARD C - RADAR 9 PAN (BANDE X) - SART (REPONDEUR RAD) - RECEPTEUR NAVTEX,,ACTIVE,09/08/2000,
PL,916455X,,SAILFORT,FW9426,227315560,FISHING,23.4,156.93,UMS,VHF - VHF ASN - AIS - VHF PORTATIVE - BALISE COSPAS S.  EPIRB - BLU ASN - SATELLITE STANDARD C - RADAR 9 PAN (BANDE X) - SART (REPONDEUR RAD) - RECEPTEUR NAVTEX,,INACTIVE,16/11/2000,27/06/2016
CC,911294M,,ROSELEND,FIZX,226105000,FISHING,32.6,244.69,UMS,VHF - VHF ASN - AIS - VHF PORTATIVE - BALISE COSPAS S.  EPIRB - BLU - SATELLITE STANDARD C - RADAR 9 PAN (BANDE X) - SART (REPONDEUR RAD) - RECEPTEUR NAVTEX - DIVERS,,ACTIVE,06/12/2000,
