maritime_area ;registration_number ;imo_number ;ship_name                                             ;callsign ;mmsi      ;shiptype             ;length ;tonnage  ;tonnage_unit ;materiel_onboard                                                                                                                                                                                                                                                                        ;atis_code     ;radio_license_status ;date_first_license ;date_inactivity_license
##            ;P12053              ;1821320    ;ALCAMO                                                ;FM4685   ;          ;RIVER SHIP           ;38.8   ;370      ;UMS          ;VHF - VHF ASN                                                                                                                                                                                                                                                                           ;9 227 13 4685 ;INACTIVE             ;01/10/1976         ;01/03/2016
BL            ;472982L             ;           ;LA REALE                                              ;FI6428   ;          ;PLEASURE CRAFT       ;10     ;17       ;UMS          ;VHF - VHF PORTATIVE - RADAR 9 PAN (BANDE X)                                                                                                                                                                                                                                             ;              ;ACTIVE               ;19/07/1988         ;
LR            ;428368T             ;           ;P'TIT JULES                                           ;FS8308   ;227562510 ;FISHING              ;8.66   ;7.07     ;UMS          ;VHF ASN - VHF PORTATIVE - BALISE COSPAS S.  EPIRB - RADAR 9 PAN (BANDE X)                                                                                                                                                                                                               ;              ;ACTIVE               ;08/05/1982         ;
PA            ;PA13127F            ;           ;ROMANCE                                               ;FM4894   ;          ;RIVER SHIP           ;       ;         ;UMS          ;VHF                                                                                                                                                                                                                                                                                     ;9 227 13 4894 ;INACTIVE             ;01/11/1977         ;22/11/1993
PA            ;RE06096             ;           ;POP MUSIC                                             ;FM6668   ;          ;RIVER SHIP           ;       ;         ;UMS          ;VHF                                                                                                                                                                                                                                                                                     ;9 227 13 6668 ;INACTIVE             ;13/10/1988         ;22/11/1993
AC            ;735760P             ;           ;LOF                                                   ;FI7932   ;227347560 ;FISHING              ;8.3    ;3.86     ;UMS          ;VHF ASN - VHF PORTATIVE                                                                                                                                                                                                                                                                 ;              ;ACTIVE               ;28/07/1988         ;
NY            ;NY014               ;           ;HEIN                                                  ;FM2588   ;          ;RIVER SHIP           ;       ;851      ;UMS          ;VHF                                                                                                                                                                                                                                                                                     ;9 227 13 2588 ;INACTIVE             ;01/07/1976         ;23/06/1993
PA            ;10852               ;           ;BECCOI                                                ;FM4484   ;          ;RIVER SHIP           ;       ;         ;UMS          ;VHF                                                                                                                                                                                                                                                                                     ;9 227 13 4484 ;INACTIVE             ;01/02/1979         ;23/06/1993
AC            ;257206X             ;           ;RAPHAEL                                               ;FUKU     ;          ;PLEASURE CRAFT       ;12     ;14       ;UMS          ;VHF - BLU                                                                                                                                                                                                                                                                               ;              ;ACTIVE               ;01/03/1978         ;
NI            ;240520K             ;           ;YOCO 3                                                ;FP7410   ;          ;PLEASURE CRAFT       ;       ;3        ;UMS          ;VHF                                                                                                                                                                                                                                                                                     ;              ;INACTIVE             ;31/08/1983         ;10/05/1989
AY            ;RE07829             ;           ;LA LOUISIANE                                          ;FU8123   ;          ;PLEASURE CRAFT       ;       ;22       ;UMS          ;VHF                                                                                                                                                                                                                                                                                     ;              ;INACTIVE             ;10/07/1987         ;20/02/1990
MX            ;112348T             ;           ;CROM                                                  ;FO9656   ;          ;PLEASURE CRAFT       ;       ;2        ;UMS          ;VHF                                                                                                                                                                                                                                                                                     ;              ;INACTIVE             ;01/08/1978         ;26/11/2007
LR            ;403883D             ;           ;LA MALINE II                                          ;FT6121   ;227250730 ;PLEASURE CRAFT       ;10.1   ;11.03    ;UMS          ;VHF ASN - VHF PORTATIVE                                                                                                                                                                                                                                                                 ;              ;ACTIVE               ;02/04/1984         ;
##            ;P012084F            ;           ;VOTA                                                  ;FM4922   ;          ;RIVER SHIP           ;38.96  ;         ;UMS          ;VHF                                                                                                                                                                                                                                                                                     ;9 227 13 4922 ;ACTIVE               ;01/11/1977         ;
